,Time,Close,Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,Time
26,2002-03-01 00:00:00-05:00,1452.81005859375,2/9/23,4.66,4.77,4.77,4.87,4.9,4.88,4.48,4.15,3.87,3.79,3.67,3.9,3.75,2023-02-09
27,2002-04-01 00:00:00-05:00,1277.0699462890625,2/10/23,4.66,4.77,4.79,4.89,4.89,4.89,4.5,4.19,3.93,3.86,3.74,3.96,3.83,2023-02-10
28,2002-05-01 00:00:00-04:00,1208.3399658203125,2/13/23,4.66,4.78,4.81,4.9,4.99,4.91,4.52,4.22,3.93,3.84,3.72,3.92,3.79,2023-02-13
29,2002-06-01 00:00:00-04:00,1051.4100341796875,2/14/23,4.63,4.78,4.8,4.91,4.98,4.99,4.6,4.32,4.0,3.9,3.77,3.94,3.81,2023-02-14
30,2002-07-01 00:00:00-04:00,962.0999755859376,2/15/23,4.64,4.79,4.79,4.94,4.97,4.96,4.62,4.35,4.04,3.94,3.81,3.97,3.85,2023-02-15
31,2002-08-01 00:00:00-04:00,942.3800048828124,2/16/23,4.66,4.8,4.84,4.95,4.98,4.99,4.62,4.35,4.06,3.98,3.86,4.05,3.92,2023-02-16
32,2002-09-01 00:00:00-04:00,832.52001953125,2/17/23,4.64,4.81,4.84,4.95,4.99,5.0,4.6,4.33,4.03,3.95,3.82,4.01,3.88,2023-02-17
33,2002-10-01 00:00:00-04:00,989.5399780273438,2/21/23,4.63,4.83,4.86,4.98,5.07,5.07,4.67,4.44,4.16,4.08,3.95,4.12,3.98,2023-02-21
34,2002-11-01 00:00:00-05:00,1116.0999755859375,2/22/23,4.62,4.81,4.84,5.0,5.08,5.07,4.66,4.43,4.13,4.07,3.93,4.09,3.94,2023-02-22
35,2002-12-01 00:00:00-05:00,984.3699951171876,2/23/23,4.66,4.83,4.84,5.0,5.05,5.03,4.66,4.4,4.09,4.02,3.88,4.04,3.88,2023-02-23
36,2003-01-01 00:00:00-05:00,983.0499877929688,2/24/23,4.68,4.83,4.86,5.02,5.06,5.05,4.78,4.52,4.19,4.1,3.95,4.11,3.93,2023-02-24
