date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-07-18,922,922,IBM,2025-07-18,290.0,5.35,call,9,298,0.26891,0.24084,0.00789,-0.05661,0.45739,0.18778,0.331507,8.654744e-05,5.35,2025-07-18
2025-07-18,924,924,IBM,2025-07-18,295.0,4.6,call,1,91,0.27257,0.21183,0.00724,-0.05296,0.42539,0.16553,0.331507,6.934705e-05,4.6,2025-07-18
2025-07-18,926,926,IBM,2025-07-18,300.0,3.7,call,5,311,0.27318,0.18302,0.00661,-0.04829,0.38937,0.14347,0.331507,4.425646e-05,3.7,2025-07-18
2025-07-18,928,928,IBM,2025-07-18,305.0,2.73,call,0,126,0.27409,0.15763,0.00599,-0.04379,0.35382,0.12392,0.331507,2.900344e-05,2.73,2025-07-18
2025-07-18,930,930,IBM,2025-07-18,310.0,2.7,call,1,108,0.27547,0.13563,0.00538,-0.03958,0.31986,0.10689,0.331507,1.985308e-05,2.7,2025-07-18
2025-07-18,932,932,IBM,2025-07-18,320.0,1.62,call,0,48,0.27851,0.0998,0.00428,-0.03192,0.25734,0.07898,0.331507,9.711136e-06,9.838167e-06,2025-07-18
2025-07-18,934,934,IBM,2025-07-18,330.0,1.35,call,0,12,0.28156,0.07279,0.00335,-0.02529,0.20317,0.05781,0.331507,4.883843e-06,4.934273e-06,2025-07-18
2025-07-18,936,936,IBM,2025-07-18,340.0,0.81,call,10,686,0.28553,0.05338,0.00259,-0.02001,0.15953,0.04251,0.331507,2.755388e-06,0.81,2025-07-18
2025-07-18,938,938,IBM,2025-07-18,350.0,1.38,call,0,88,0.32074,0.05795,0.00246,-0.0238,0.17022,0.04572,0.331507,2.255432e-05,1.38,2025-07-18
2025-07-18,940,940,IBM,2025-07-18,360.0,0.79,call,0,2,0.30595,0.03471,0.00171,-0.01499,0.11271,0.02764,0.331507,3.11902e-06,3.136864e-06,2025-07-18
2025-09-19,954,954,IBM,2025-09-19,125.0,101.85,call,0,0,0.04342,1.0,0.0,-0.01451,0.0,0.62308,0.50411,26.25394,26.25394,2025-09-19
2025-09-19,956,956,IBM,2025-09-19,130.0,95.69,call,0,0,0.04172,1.0,0.0,-0.01509,0.0,0.64801,0.50411,21.3041,21.3041,2025-09-19
2025-09-19,960,960,IBM,2025-09-19,140.0,117.52,call,0,3,0.03833,1.0,0.0,-0.01625,0.0,0.69786,0.50411,11.4065,11.4065,2025-09-19
2025-09-19,962,962,IBM,2025-09-19,145.0,108.08,call,0,7,0.03663,1.0,0.0,-0.01683,0.0,0.72278,0.50411,6.525872,6.525872,2025-09-19
2025-09-19,964,964,IBM,2025-09-19,150.0,58.45,call,0,2,0.03494,1.0,0.0,-0.01741,0.0,0.7477,0.50411,2.349728,2.349728,2025-09-19
2025-09-19,966,966,IBM,2025-09-19,155.0,61.3,call,0,1,0.03324,1.0,0.0,-0.01799,0.0,0.77263,0.50411,0.3204208,0.3204208,2025-09-19
2025-09-19,968,968,IBM,2025-09-19,160.0,93.01,call,0,6,0.03154,1.0,0.0,-0.01857,0.0,0.79755,0.50411,0.008528702,0.008528702,2025-09-19
2025-09-19,970,970,IBM,2025-09-19,165.0,98.2,call,0,66,0.02985,1.0,0.0,-0.01915,0.0,0.82247,0.50411,2.155498e-05,98.2,2025-09-19
2025-09-19,972,972,IBM,2025-09-19,170.0,91.32,call,0,164,0.02815,1.0,0.0,-0.01973,0.0,0.8474,0.50411,2.224661e-09,91.32,2025-09-19
2025-09-19,974,974,IBM,2025-09-19,175.0,75.85,call,0,33,0.02645,1.0,0.0,-0.02031,0.0,0.87232,0.50411,3.248485e-15,3.248485e-15,2025-09-19
2025-09-19,976,976,IBM,2025-09-19,180.0,72.67,call,0,75,0.02476,1.0,0.0,-0.02089,0.0,0.89724,0.50411,1.657614e-23,72.67,2025-09-19
2025-09-19,978,978,IBM,2025-09-19,185.0,80.25,call,0,54,0.19879,0.99248,0.00058,-0.02323,0.03748,0.912,0.50411,0.8294047,80.25,2025-09-19
